video_title,show_title,season_title,category,country_name,lifetime_duration,highest_rank
'83,'83,N/A,Films,United Kingdom,1,10
10 Cloverfield Lane,10 Cloverfield Lane,N/A,Films,France,1,10
"10,000 B.C.","10,000 B.C.",N/A,Films,United States,1,7
13 Going on 30,13 Going on 30,N/A,Films,Mexico,1,9
13 Hours: The Secret Soldiers of Benghazi,13 Hours: The Secret Soldiers of Benghazi,N/A,Films,Brazil,2,5
13 Hours: The Secret Soldiers of Benghazi,13 Hours: The Secret Soldiers of Benghazi,N/A,Films,Japan,3,2
13 Hours: The Secret Soldiers of Benghazi,13 Hours: The Secret Soldiers of Benghazi,N/A,Films,Mexico,2,5
13 Minutes,13 Minutes,N/A,Films,United Kingdom,2,1
14 Peaks: Nothing Is Impossible,14 Peaks: Nothing Is Impossible,N/A,Films,France,1,10
14 Peaks: Nothing Is Impossible,14 Peaks: Nothing Is Impossible,N/A,Films,United Kingdom,1,4
14 Peaks: Nothing Is Impossible,14 Peaks: Nothing Is Impossible,N/A,Films,United States,1,9
1408,1408,N/A,Films,United Kingdom,1,3
17 Again,17 Again,N/A,Films,United Kingdom,3,2
1917,1917,N/A,Films,Japan,1,10
1917,1917,N/A,Films,United Kingdom,1,6
21,21,N/A,Films,United States,1,8
21 Bridges,21 Bridges,N/A,Films,Japan,1,8
21 Bridges,21 Bridges,N/A,Films,United Kingdom,1,5
21 Bridges,21 Bridges,N/A,Films,United States,1,6
21 Jump Street,21 Jump Street,N/A,Films,United States,3,3
211,211,N/A,Films,Brazil,1,5
211,211,N/A,Films,Mexico,1,4
3 From Hell,3 From Hell,N/A,Films,United Kingdom,1,9
3 idiotas,3 idiotas,N/A,Films,Mexico,1,8
300,300,N/A,Films,United States,1,10
300: Rise of an Empire,300: Rise of an Empire,N/A,Films,United Kingdom,1,6
365 Days,365 Days,N/A,Films,Brazil,1,5
365 Days,365 Days,N/A,Films,France,2,4
365 Days,365 Days,N/A,Films,United Kingdom,1,8
365 Days: This Day,365 Days: This Day,N/A,Films,Brazil,3,1
365 Days: This Day,365 Days: This Day,N/A,Films,France,3,1
365 Days: This Day,365 Days: This Day,N/A,Films,Japan,1,7
365 Days: This Day,365 Days: This Day,N/A,Films,Mexico,2,1
365 Days: This Day,365 Days: This Day,N/A,Films,United Kingdom,2,1
365 Days: This Day,365 Days: This Day,N/A,Films,United States,1,1
40 Years Young,40 Years Young,N/A,Films,Mexico,2,2
461 Days of Bento,461 Days of Bento,N/A,Films,Japan,1,4
47 Meters Down: Uncaged,47 Meters Down: Uncaged,N/A,Films,Mexico,2,7
6 Underground,6 Underground,N/A,Films,Brazil,1,10
6 Underground,6 Underground,N/A,Films,France,2,6
6 Underground,6 Underground,N/A,Films,United Kingdom,1,9
60 Days In: Season 6,60 Days In,60 Days In: Season 6,TV,United States,1,9
7 Prisoners,7 Prisoners,N/A,Films,Brazil,2,4
7 Secretaries: Season 1,7 Secretaries,7 Secretaries: Season 1,TV,Japan,1,7
90 Minutes in Heaven,90 Minutes in Heaven,N/A,Films,Brazil,1,10
A Boy Called Christmas,A Boy Called Christmas,N/A,Films,Brazil,2,3
A Boy Called Christmas,A Boy Called Christmas,N/A,Films,Japan,1,7
A Boy Called Christmas,A Boy Called Christmas,N/A,Films,Mexico,2,5
A Boy Called Christmas,A Boy Called Christmas,N/A,Films,United States,4,3
A California Christmas: City Lights,A California Christmas: City Lights,N/A,Films,Brazil,2,4
A California Christmas: City Lights,A California Christmas: City Lights,N/A,Films,France,1,6
A California Christmas: City Lights,A California Christmas: City Lights,N/A,Films,Mexico,1,5
A California Christmas: City Lights,A California Christmas: City Lights,N/A,Films,United Kingdom,1,9
A California Christmas: City Lights,A California Christmas: City Lights,N/A,Films,United States,2,4
A Castle For Christmas,A Castle For Christmas,N/A,Films,Brazil,2,4
A Castle For Christmas,A Castle For Christmas,N/A,Films,France,2,5
A Castle For Christmas,A Castle For Christmas,N/A,Films,Mexico,2,7
A Castle For Christmas,A Castle For Christmas,N/A,Films,United Kingdom,2,3
A Castle For Christmas,A Castle For Christmas,N/A,Films,United States,2,3
A Classic Horror Story,A Classic Horror Story,N/A,Films,Brazil,1,5
A Dog's Journey,A Dog's Journey,N/A,Films,Brazil,2,6
A Dog's Journey,A Dog's Journey,N/A,Films,Mexico,2,3
A Dog's Way Home,A Dog's Way Home,N/A,Films,Brazil,1,7
A Dog's Way Home,A Dog's Way Home,N/A,Films,Mexico,1,5
A Family,A Family,N/A,Films,Japan,1,6
A Madea Homecoming,A Madea Homecoming,N/A,Films,Brazil,1,6
A Madea Homecoming,A Madea Homecoming,N/A,Films,France,1,9
A Madea Homecoming,A Madea Homecoming,N/A,Films,United Kingdom,2,3
A Madea Homecoming,A Madea Homecoming,N/A,Films,United States,4,1
A Man Apart,A Man Apart,N/A,Films,Brazil,1,8
A Naija Christmas,A Naija Christmas,N/A,Films,Brazil,1,7
A Perfect Enemy,A Perfect Enemy,N/A,Films,Brazil,1,2
A Perfect Enemy,A Perfect Enemy,N/A,Films,Mexico,1,8
A Perfect Fit,A Perfect Fit,N/A,Films,Brazil,1,5
A Perfect Fit,A Perfect Fit,N/A,Films,Mexico,1,7
A Perfect Pairing,A Perfect Pairing,N/A,Films,Brazil,3,1
A Perfect Pairing,A Perfect Pairing,N/A,Films,France,3,1
A Perfect Pairing,A Perfect Pairing,N/A,Films,Japan,1,10
A Perfect Pairing,A Perfect Pairing,N/A,Films,Mexico,3,2
A Perfect Pairing,A Perfect Pairing,N/A,Films,United Kingdom,3,4
A Perfect Pairing,A Perfect Pairing,N/A,Films,United States,3,2
A Quiet Place,A Quiet Place,N/A,Films,Brazil,2,6
A Quiet Place Part II,A Quiet Place Part II,N/A,Films,Japan,2,1
A Score to Settle,A Score to Settle,N/A,Films,Brazil,2,2
A Score to Settle,A Score to Settle,N/A,Films,Mexico,1,2
A Star Is Born,A Star Is Born,N/A,Films,France,2,4
A Time to Kill,A Time to Kill,N/A,Films,United Kingdom,1,10
A Violent Man,A Violent Man,N/A,Films,United Kingdom,1,5
A Walk Among the Tombstones,A Walk Among the Tombstones,N/A,Films,United States,2,2
A Woman With No Filter,A Woman With No Filter,N/A,Films,Mexico,2,1
Abominable,Abominable,N/A,Films,Brazil,3,3
Abominable,Abominable,N/A,Films,Mexico,3,1
Absolute Power,Absolute Power,N/A,Films,France,1,9
Ackley Bridge: Series 3,Ackley Bridge,Ackley Bridge: Series 3,TV,United Kingdom,1,9
Addams Family Values,Addams Family Values,N/A,Films,Mexico,2,8
After Life: Season 1,After Life,After Life: Season 1,TV,United Kingdom,2,6
After Life: Season 2,After Life,After Life: Season 2,TV,United Kingdom,1,8
After Life: Season 3,After Life,After Life: Season 3,TV,United Kingdom,4,1
After We Fell,After We Fell,N/A,Films,United States,1,3
Afterlife of the Party,Afterlife of the Party,N/A,Films,Brazil,2,2
Afterlife of the Party,Afterlife of the Party,N/A,Films,France,3,2
Afterlife of the Party,Afterlife of the Party,N/A,Films,Mexico,2,2
Afterlife of the Party,Afterlife of the Party,N/A,Films,United Kingdom,2,3
Afterlife of the Party,Afterlife of the Party,N/A,Films,United States,2,3
Aftermath,Aftermath,N/A,Films,Brazil,2,4
Aftermath,Aftermath,N/A,Films,France,2,4
Aftermath,Aftermath,N/A,Films,Mexico,2,3
Aftermath,Aftermath,N/A,Films,United Kingdom,2,1
Aftermath,Aftermath,N/A,Films,United States,2,4
Against The Ice,Against The Ice,N/A,Films,Brazil,2,4
Against The Ice,Against The Ice,N/A,Films,France,2,4
Against The Ice,Against The Ice,N/A,Films,Japan,1,9
Against The Ice,Against The Ice,N/A,Films,Mexico,2,3
Against The Ice,Against The Ice,N/A,Films,United Kingdom,1,3
Against The Ice,Against The Ice,N/A,Films,United States,1,7
AI Amok,AI Amok,N/A,Films,Japan,2,8
Aileen Wuornos: American Boogeywoman,Aileen Wuornos: American Boogeywoman,N/A,Films,United Kingdom,1,10
Aileen Wuornos: American Boogeywoman,Aileen Wuornos: American Boogeywoman,N/A,Films,United States,1,5
Alchemy of Souls: Part 1,Alchemy of Souls,Alchemy of Souls: Part 1,TV,Japan,2,4
Alice in Borderland: Season 1,Alice in Borderland,Alice in Borderland: Season 1,TV,France,3,9
Alice in Borderland: Season 1,Alice in Borderland,Alice in Borderland: Season 1,TV,Mexico,1,7
Alice in Borderland: Season 1,Alice in Borderland,Alice in Borderland: Season 1,TV,United Kingdom,1,10
Alive,Alive,N/A,Films,United Kingdom,1,9
All American: Season 1,All American,All American: Season 1,TV,United States,5,6
All American: Season 2,All American,All American: Season 2,TV,United States,1,10
All American: Season 3,All American,All American: Season 3,TV,United States,6,1
All American: Season 4,All American,All American: Season 4,TV,United States,5,2
All Hail,All Hail,N/A,Films,Brazil,2,1
All Hail,All Hail,N/A,Films,Mexico,2,1
All of Us Are Dead: Season 1,All of Us Are Dead,All of Us Are Dead: Season 1,TV,Brazil,5,1
All of Us Are Dead: Season 1,All of Us Are Dead,All of Us Are Dead: Season 1,TV,France,6,1
All of Us Are Dead: Season 1,All of Us Are Dead,All of Us Are Dead: Season 1,TV,Japan,7,1
All of Us Are Dead: Season 1,All of Us Are Dead,All of Us Are Dead: Season 1,TV,Mexico,12,1
All of Us Are Dead: Season 1,All of Us Are Dead,All of Us Are Dead: Season 1,TV,United Kingdom,5,1
All of Us Are Dead: Season 1,All of Us Are Dead,All of Us Are Dead: Season 1,TV,United States,5,1
Along Came a Spider,Along Came a Spider,N/A,Films,France,1,10
Along for the Ride,Along for the Ride,N/A,Films,Brazil,1,7
Along for the Ride,Along for the Ride,N/A,Films,France,2,6
Along with the Gods: The Last 49 Days,Along with the Gods: The Last 49 Days,N/A,Films,Japan,1,8
Along with the Gods: The Two Worlds,Along with the Gods: The Two Worlds,N/A,Films,Japan,2,5
Alpha,Alpha,N/A,Films,France,1,10
Alpha,Alpha,N/A,Films,Mexico,1,1
AlRawabi School for Girls: Season 1,AlRawabi School for Girls,AlRawabi School for Girls: Season 1,TV,Brazil,1,10
AlRawabi School for Girls: Season 1,AlRawabi School for Girls,AlRawabi School for Girls: Season 1,TV,France,2,3
AlRawabi School for Girls: Season 1,AlRawabi School for Girls,AlRawabi School for Girls: Season 1,TV,Mexico,3,3
Alvin and the Chipmunks: Chipwrecked,Alvin and the Chipmunks: Chipwrecked,N/A,Films,Brazil,3,6
Alvin and the Chipmunks: Chipwrecked,Alvin and the Chipmunks: Chipwrecked,N/A,Films,United Kingdom,2,7
Alvin and the Chipmunks: The Squeakquel,Alvin and the Chipmunks: The Squeakquel,N/A,Films,United Kingdom,1,5
Amandla,Amandla,N/A,Films,France,1,5
Amandla,Amandla,N/A,Films,Mexico,1,9
Amandla,Amandla,N/A,Films,United States,1,10
American Assassin,American Assassin,N/A,Films,Brazil,1,4
American Gangster,American Gangster,N/A,Films,United States,2,5
American Reunion,American Reunion,N/A,Films,United States,1,5
Amores perros,Amores perros,N/A,Films,Mexico,1,10
An Unfinished Life,An Unfinished Life,N/A,Films,United States,3,3
Anatomy of a Scandal: Limited Series,Anatomy of a Scandal,Anatomy of a Scandal: Limited Series,TV,Brazil,2,3
Anatomy of a Scandal: Limited Series,Anatomy of a Scandal,Anatomy of a Scandal: Limited Series,TV,France,4,1
Anatomy of a Scandal: Limited Series,Anatomy of a Scandal,Anatomy of a Scandal: Limited Series,TV,Mexico,2,3
Anatomy of a Scandal: Limited Series,Anatomy of a Scandal,Anatomy of a Scandal: Limited Series,TV,United Kingdom,5,1
Anatomy of a Scandal: Limited Series,Anatomy of a Scandal,Anatomy of a Scandal: Limited Series,TV,United States,3,1
