video_title,neg_sentiment_mx,neu_sentiment_mx,pos_sentiment_mx
13 Going on 30,0,6,2
365 Days: This Day,0,20,4
A Boy Called Christmas,0,0,1
Afterlife of the Party,0,0,1
Aftermath,0,1,0
Alice in Borderland: Season 1,1,4,1
All of Us Are Dead: Season 1,5,6,2
Alpha,3,17,2
AlRawabi School for Girls: Season 1,0,2,0
Amores perros,3,20,3
Anatomy of a Scandal: Limited Series,2,3,0
Anna,1,25,8
Arcane: Season 1,18,67,44
Archive 81: Season 1,1,13,3
Army of the Dead,6,59,4
Army of Thieves,1,4,0
Beauty and the Beast,1,7,16
Beckett,0,2,1
Bedazzled,0,3,0
Belzebuth,1,1,4
Blood Red Sky,1,4,2
Bohemian Rhapsody,0,6,4
Boruto: Naruto Next Generations: Season 1,0,2,0
Bride Wars,0,2,0
Bridgerton: Season 1,8,29,14
Bridgerton: Season 2,8,29,14
Brightburn,0,0,2
Bruised,0,3,1
Business Proposal: Season 1,0,6,1
CafÃ© con aroma de mujer: Season 1,6,44,10
Choose or Die,0,0,1
Clickbait: Limited Series,8,10,8
Cobra Kai: Season 4,18,117,41
Collision,0,1,0
Compadres,1,23,8
Control Z: Season 1,13,22,7
Control Z: Season 2,13,22,7
Crawl,0,0,1
Dangerous,7,20,0
Daughter From Another Mother: Season 1,0,0,1
Daughter From Another Mother: Season 2,0,0,1
Deep Impact,0,1,0
Don't Kill Me,1,0,0
Don't Look Up,88,157,90
Dora and the Lost City of Gold,0,1,0
Dynasty: Season 4,5,8,2
El Chema: Season 1,1,0,0
El infierno,6,2,1
Elite: Season 4,17,72,18
Elite: Season 5,17,72,18
Elves: Season 1,0,0,3
Emily in Paris: Season 2,7,29,16
Enough,2,4,1
Escape Room,0,1,0
Everything Will Be Fine: Season 1,0,1,1
Extinct,2,3,0
Falling Into Your Smile: Season 1,0,2,4
Falsa identidad: Season 1,0,1,1
Falsa identidad: Season 2,0,1,1
Faster,0,7,3
Fatale,0,0,1
Fatherhood,0,4,7
First Kill,0,2,1
First Kill: Season 1,0,2,1
Five Feet Apart,1,0,1
For Life: Season 1,0,3,1
Forecasting Love and Weather: Season 1,0,1,0
Fracture,1,4,0
Friendzone,4,8,2
Furioza,1,0,2
Gangubai Kathiawadi,0,0,1
Gemini Man,0,0,1
Ghost Ship,1,0,0
Good Girls: Season 4,2,5,2
Gran Torino,1,0,3
Grey's Anatomy: Season 17,53,108,24
Halftime,8,21,6
He's All That,0,2,2
Heartstopper: Season 1,46,444,127
Heat,2,28,5
Heavenly Bites: Mexico: Season 1,1,0,0
Hellbound: Season 1,1,4,2
Home Team,0,4,2
Homefront,0,1,0
Hometown Cha-Cha-Cha: Season 1,1,3,5
Hustle,2,16,10
I Am Georgina: Season 1,1,0,0
In Time,0,1,0
Interceptor,1,2,2
Intrusion,5,64,4
Invasion,14,16,4
Inventing Anna: Limited Series,8,5,4
Is It Cake?: Season 1,1,2,1
Jack Reacher,0,1,1
Jurassic World Camp Cretaceous: Season 4,0,1,0
Just Go With It,0,1,0
Juvenile Justice: Season 1,0,0,1
Kate,0,4,2
Kingdom: Ashin of the North,3,1,0
Knives Out,0,2,3
La ley de Herodes,1,3,1
La Reina del Sur: Season 2,0,4,0
Lost in Space: Season 3,0,3,2
Love Hard,0,3,2
Lucifer: Season 6,3,24,9
Ma,2,13,8
Maid: Limited Series,6,21,10
"Malverde, el santo patrÃ³n: Season 1",2,54,16
Man on Fire,1,0,2
Maya and the Three: Limited Series,0,10,4
Memoirs of a Geisha,0,1,0
Metal Lords,3,9,11
Midnight Mass: Limited Series,13,24,17
Mine: Season 1,1,6,6
Money Heist: Part 1,3,10,4
Money Heist: Part 5,3,10,4
My Little Pony: A New Generation,0,3,3
My Name: Season 1,0,3,0
Narcos: Mexico: Season 1,18,40,9
Narcos: Mexico: Season 2,18,40,9
Narcos: Mexico: Season 3,18,40,9
Never Back Down,1,47,2
