video_title,neg_sentiment_uk,neu_sentiment_uk,pos_sentiment_uk
13 Minutes,2,3,5
14 Peaks: Nothing Is Impossible,2,4,36
17 Again,0,1,0
3 From Hell,0,2,0
365 Days,13,111,149
365 Days: This Day,6,14,2
6 Underground,0,2,1
A Castle For Christmas,3,9,8
A Madea Homecoming,0,2,0
A Perfect Pairing,1,1,1
A Time to Kill,0,3,1
A Violent Man,0,3,6
Ackley Bridge: Series 3,0,3,2
After Life: Season 1,112,270,608
After Life: Season 2,112,271,607
After Life: Season 3,112,271,607
Afterlife of the Party,0,1,4
Aftermath,7,15,5
Against The Ice,0,1,1
Alice in Borderland: Season 1,5,15,14
Alive,1,20,18
All of Us Are Dead: Season 1,30,28,23
Anatomy of a Scandal: Limited Series,39,24,34
Annabelle Comes Home,1,5,0
Aquaman,10,48,18
Arcane: Season 1,25,79,79
Archive 81: Season 1,17,21,22
Army of Thieves,3,9,17
Atypical: Season 4,2,11,11
Back to the Outback,0,1,3
Bad Boys for Life,1,3,1
Battleship,0,2,0
Beckett,2,13,7
Better Call Saul: Season 6,41,103,86
Big Mouth: Season 5,3,9,8
Big Timber: Season 1,0,1,1
Black and Blue,3,38,13
Black Crab,0,2,1
Black Hawk Down,1,0,1
Blade Runner 2049,0,7,9
Bling Empire: Season 2,22,8,11
Blitz,12,32,5
Blood Red Sky,4,8,7
Bloodshot,1,0,0
Blue Story,2,3,0
Bohemian Rhapsody,3,21,24
Boiling Point,13,26,68
Brand New Cherry Flavor: Limited Series,3,17,14
Brazen,1,3,1
Bridgerton: Season 1,61,190,138
Bridgerton: Season 2,61,190,138
Britney Vs Spears,16,19,5
Bruised,5,3,7
Burnt,11,2,5
Carriers,0,1,0
Case 39,0,1,0
Catching Killers: Season 1,1,1,2
Catching Killers: Season 2,1,1,2
Chaos,70,86,25
Chaos Walking,1,4,2
Charlie's Angels,0,5,9
Cheer: Season 2,4,17,24
Chernobyl 1986,0,0,1
Chicago Fire: Season 1,34,68,31
Chicago Med: Season 1,5,11,8
Chicken Run,2,9,3
Choose or Die,3,3,4
Clickbait: Limited Series,79,63,46
Cobra Kai: Season 1,22,138,105
Cobra Kai: Season 2,22,138,105
Cobra Kai: Season 3,22,138,105
Cobra Kai: Season 4,21,138,106
CoComelon: Season 3,1,10,3
Constantine,4,8,6
Cowboy Bebop: Season 1,10,25,32
Criminal,133,28,8
Death to 2021,15,17,29
Django Unchained,1,1,0
Doctor Sleep,1,3,6
Dolittle,0,0,1
Don't Look Up,273,329,321
Double Jeopardy,1695,94,0
Downfall: The Case Against Boeing,6,2,2
Downton Abbey: Series 1,21,75,89
Downton Abbey: Series 2,21,75,89
Downton Abbey: Series 3,21,75,89
Downton Abbey: Series 4,21,75,89
Dynasty: Season 4,19,22,21
Emily in Paris: Season 1,16,41,32
Emily in Paris: Season 2,16,41,32
Emma.,5,29,49
Falling for Figaro,1,1,4
Father Christmas Is Back,1,2,5
Fatherhood,5,29,47
Fear of Rain,0,0,2
First Kill: Season 1,2,8,2
Fistful of Vengeance,0,1,1
Formula 1: Drive to Survive: Season 4,0,2,4
Fracture,7,11,11
Friends: Season 6,132,1474,2222
Gangubai Kathiawadi,3,15,8
Gemini Man,1,4,0
God's Favorite Idiot: Season 1,0,2,2
Gods of Egypt,1,2,0
Gone Baby Gone,0,2,0
Good Girls: Season 1,12,12,14
Good Girls: Season 4,12,12,14
Good on Paper,0,1,0
Grace and Frankie: Season 7,8,26,27
Greed,134,120,19
Grown Ups,2,3,13
Hairspray,5,31,49
Halftime,7,47,28
Hard Cell: Season 1,5,6,16
Harriet,2,2,4
He's All That,6,3,12
Heartstopper: Season 1,105,323,463
Heist: Season 1,3,4,7
Hellbound: Season 1,13,16,15
Home Team,0,3,7
Homefront,0,1,2
Hop,3,9,8
How to Be Single,0,2,0
Hustle,9,88,49
Hypnotic,0,27,6
In From the Cold: Season 1,0,2,4
In Time,0,1,4
Inside Job: Part 1,14,24,10
Interceptor,2,4,6
Intrusion,1,3,2
Inventing Anna: Limited Series,42,47,27
Is It Cake?: Season 1,9,15,11
It Chapter Two,1,0,0
Jack Whitehall: Travels with My Father: Season 5,0,2,0
Jimmy Savile: A British Horror Story: Limited Series,24,4,3
John Wick: Chapter 2,0,2,0
Joker,32,144,61
Jumanji: The Next Level,0,1,0
Kate,2,41,18
Keep Sweet: Pray and Obey: Limited Series,15,9,2
Knuckle,0,0,1
Kong: Skull Island,0,6,5
Kung Fu Panda,0,5,0
L.A.âs Finest: Season 1,1,0,1
Last Christmas,19,42,28
Last Man Down,0,0,1
Legend,348,1299,2302
Liar: Season 1,313,87,8
Life After Death with Tyler Henry: Season 1,0,0,1
Little Women,3,7,9
Locke & Key: Season 1,0,1,0
Locke & Key: Season 2,0,1,0
Lockout,0,2,0
Lost in Space: Season 1,10,35,29
Lost in Space: Season 3,10,35,29
Love Actually,16,81,73
Love Hard,2,5,12
Love Is Blind: Season 1,85,95,65
Love Is Blind: Season 2,85,94,66
Lucifer: Season 1,21,33,27
Lucifer: Season 2,21,33,27
Lucifer: Season 3,21,33,27
Lucifer: Season 6,21,33,27
Lupin: Part 2,1,16,12
Maid: Limited Series,20,40,28
Man of Steel,8,28,19
Man on Fire,0,5,7
Man Vs Bee: Season 1,8,12,24
Me Before You,0,5,2
Meet the Fockers,0,1,1
Meet the Parents,0,2,2
Midnight in the Switchgrass,0,1,0
Midnight Mass: Limited Series,52,79,120
Modern Family: Season 9,0,9,13
Money Heist: Part 1,66,143,113
Money Heist: Part 5,66,143,113
Monsters Inside: The 24 Faces of Billy Milligan: Limited Series,1,0,0
Mother/Android,2,0,4
Motherless Brooklyn,1,0,2
Munich â The Edge of War,2,7,7
My Best Friend Anne Frank,0,0,1
My Little Pony: A New Generation,0,0,2
My Lover My Killer: Season 1,1,0,0
My Name: Season 1,3,9,6
My Unorthodox Life: Season 1,4,6,7
Narcos: Mexico: Season 3,2,13,9
Nativity!,7,85,91
Never Have I Ever: Season 1,10,7,13
Never Have I Ever: Season 2,10,7,13
Night Teeth,0,5,2
Nightbooks,0,2,2
Office Christmas Party,0,3,0
On My Block: Season 4,2,4,4
Once Upon a Time in Hollywood,2,6,5
One for the Money,0,0,1
One of Us Is Lying: Season 1,2,5,3
Our Father,21,6,6
Out of Death,1,2,0
Outer Banks: Season 1,9,11,4
Outer Banks: Season 2,8,12,4
Ozark: Season 1,102,138,138
