video_title,neg_sentiment_us,neu_sentiment_us,pos_sentiment_us
#SquidGame https://t.co/1AeU8Fwk,0,1,0
14 Peaks: Nothing Is Impossible,0,4,7
21 Bridges,1,4,2
21 Jump Street,3,16,11
365 Days: This Day,20,92,24
60 Days In: Season 6,33,19,8
A Boy Called Christmas,2,12,14
A California Christmas: City Lights,0,3,4
A Castle For Christmas,2,15,19
A Madea Homecoming,13,39,16
A Perfect Pairing,0,2,11
A Walk Among the Tombstones,0,0,1
After We Fell,13,19,22
Afterlife of the Party,1,4,8
Aftermath,31,73,24
Against The Ice,1,2,2
All American: Season 1,637,721,514
All American: Season 2,637,720,514
All American: Season 3,636,721,514
All American: Season 4,637,721,514
All of Us Are Dead: Season 1,106,59,35
Amandla,0,2,1
American Gangster,3,12,10
American Reunion,0,1,0
An Unfinished Life,1,0,1
Anatomy of a Scandal: Limited Series,17,22,21
Anchorman: The Legend of Ron Burgundy,0,1,0
Annabelle: Creation,0,1,1
Apocalypse Now Redux,1,0,0
Arcane: Season 1,139,479,443
Archive 81: Season 1,81,94,61
Army of the Dead,25,186,74
Army of Thieves,6,68,49
Atypical: Season 4,21,61,34
Back to the Outback,3,5,2
Backtrace,1,1,0
Bake Squad: Season 1,4,10,10
Battleship,6,33,11
Beckett,20,272,29
Ben Is Back,2,1,1
Better Call Saul: Season 5,384,674,545
Big Mouth: Season 5,37,68,41
Big Timber: Season 1,1,6,3
Black Crab,2,8,3
Black Island,0,3,1
Blackhat,8,31,11
Blade Runner 2049,23,95,40
Blade: Trinity,4,5,2
Bling Empire: Season 2,96,64,42
Blood Red Sky,17,19,23
Blow,11,68,33
Borrego,1,4,2
Brahms: The Boy II,1,1,2
Brazen,5,16,5
Bridgerton: Season 1,218,645,481
Bridgerton: Season 2,218,647,481
Britney Vs Spears,101,148,60
Bruised,26,44,63
Can You Keep a Secret?,0,4,1
Catch and Release,29,124,73
Catching Killers: Season 2,7,7,4
Charlie and the Chocolate Factory,2,13,6
Cheer: Season 2,40,323,301
Choose or Die,5,10,3
Cleaner,3,23,13
Clickbait: Limited Series,483,456,202
Coach Carter,3,10,7
Cobra Kai: Season 1,164,713,522
Cobra Kai: Season 2,164,713,522
Cobra Kai: Season 3,164,713,522
Cobra Kai: Season 4,164,712,520
CoComelon: Season 1,22,80,35
CoComelon: Season 2,22,80,35
CoComelon: Season 3,22,80,35
CoComelon: Season 4,22,79,36
CoComelon: Season 5,22,80,35
Collision,22,50,7
Countdown,37,501,299
Cowboy Bebop: Season 1,140,432,352
Dark Shadows,31,66,44
Dave Chappelle: The Closer,68,83,50
Death to 2021,39,26,19
Den of Thieves,2,4,2
Despicable Me,36,28,7
Despicable Me 2,1,1,1
Disappearance at Clifton Hill,1,0,1
Don't Look Up,773,1114,770
Downfall: The Case Against Boeing,9,3,1
Dumb and Dumber,47,63,9
Emily in Paris: Season 1,61,142,130
Emily in Paris: Season 2,61,143,128
Extinct,19,30,1
Father Christmas Is Back,2,0,1
