video_title,tweetvol,country_name
14 Peaks: Nothing Is Impossible,1,France
365 Days,4,France
365 Days: This Day,6,France
A Castle For Christmas,1,France
A Star Is Born,46,France
Afterlife of the Party,1,France
Aftermath,3,France
Alice in Borderland: Season 1,11,France
All of Us Are Dead: Season 1,22,France
Alpha,47,France
AlRawabi School for Girls: Season 1,5,France
Anatomy of a Scandal: Limited Series,5,France
Angèle,62,France
Aquaman,7,France
Arcane: Season 1,170,France
Archive 81: Season 1,26,France
Army of the Dead,4,France
Army of Thieves,9,France
As the Crow Flies: Season 1,1,France
Atypical: Season 4,14,France
Baki Hanma: Season 1,1,France
Barbecue,88,France
Baywatch,10,France
Beckett,12,France
Bigbug,13,France
BlacKkKlansman,3,France
Blasted,1,France
Blended,1,France
Blood Red Sky,4,France
Brazen,2,France
Bridgerton: Season 1,60,France
Bridgerton: Season 2,60,France
Brightburn,1,France
Britney Vs Spears,10,France
Bubble,15,France
Budapest,27,France
Carbon,31,France
Christmas Flow: Season 1,19,France
Clark: Limited Series,3,France
Clickbait: Limited Series,10,France
Cobra Kai: Season 4,30,France
Collision,2,France
Cowboy Bebop: Season 1,25,France
Deliver Us from Evil,1,France
"Demon Slayer: Kimetsu no Yaiba: Tanjiro Kamado, Unwavering Resolve Arc",3,France
Don't Look Up,454,France
Downton Abbey: Series 1,36,France
Downton Abbey: Series 2,36,France
Dynasty: Season 4,18,France
Elite: Season 1,52,France
Elite: Season 4,52,France
Elite: Season 5,52,France
Elves: Season 1,4,France
Emily in Paris: Season 2,197,France
Entre Amis,21,France
Escape Room,5,France
Family Business: Season 3,26,France
Fatherhood,9,France
First Kill: Season 1,9,France
Fistful of Vengeance,1,France
Friendzone,6,France
Furioza,1,France
Game Night,2,France
Glamour Girls,5,France
Good Girls: Season 4,11,France
Halloween,749,France
Hanna,1,France
He's All That,4,France
Heartstopper: Season 1,350,France
Heat,33,France
Hellbound: Season 1,10,France
Hollow Man,3,France
Home Team,6,France
How to Sell Drugs Online (Fast): Season 3,1,France
Hustle,11,France
Hypnotic,1,France
In From the Cold: Season 1,1,France
Interceptor,6,France
Intimacy: Season 1,13,France
Intrusion,3,France
Inventing Anna: Limited Series,15,France
Jack Reacher,4,France
Jurassic World: Fallen Kingdom,7,France
Justice League,18,France
Kate,14,France
Kingdom: Ashin of the North,2,France
Kitz: Season 1,3,France
Let's Dance,28,France
Lionheart,1,France
Lockout,1,France
LOL,279,France
Lolo,1,France
Lost in Space: Season 1,6,France
Lost in Space: Season 2,6,France
Lost in Space: Season 3,6,France
Love Hard,10,France
Lucifer: Season 5,344,France
Lucifer: Season 6,344,France
Lupin: Part 2,36,France
Maid: Limited Series,4,France
Man on Fire,3,France
Manifest: Season 1,184,France
Metal Lords,1,France
Midnight Mass: Limited Series,15,France
Money Heist: Part 1,7,France
Money Heist: Part 4,7,France
Money Heist: Part 5,7,France
Mortel: Season 2,9,France
Mother/Android,1,France
Mr. Robot: Season 1,31,France
My Name: Season 1,8,France
Narcos: Mexico: Season 3,12,France
Never Have I Ever: Season 1,6,France
Never Have I Ever: Season 2,6,France
New Amsterdam: Season 1,26,France
New Amsterdam: Season 2,26,France
Neymar: The Perfect Chaos: Limited Series,1,France
Night Teeth,1,France
Noah,4,France
On My Block: Season 4,15,France
One of Us Is Lying: Season 1,2,France
Outer Banks: Season 1,18,France
Outer Banks: Season 2,18,France
Outlander: Season 6,244,France
Outlaws,1,France
Ozark: Season 1,29,France
Ozark: Season 4,29,France
PAW Patrol: Season 3,12,France
PAW Patrol: Season 5,12,France
Peaky Blinders: Season 1,84,France
Peaky Blinders: Season 6,84,France
PIECES OF HER: Season 1,2,France
Pokémon Detective Pikachu,3,France
Prey,6,France
Problemos,5,France
Queen of the South: Season 1,1,France
Queen of the South: Season 5,1,France
Rampage,8,France
Red Notice,22,France
Restless,1,France
Room,13,France
S.W.A.T.: Season 1,69,France
S.W.A.T.: Season 2,69,France
SAS: Rise of the Black Swan,3,France
Savage Beauty: Season 1,1,France
Schumacher,22,France
Security,64,France
Senior Year,6,France
Sex Education: Season 1,78,France
Sex Education: Season 2,78,France
Sex Education: Season 3,78,France
Sex/Life: Season 1,31,France
SHAMAN KING: Season 1,13,France
Shazam!,11,France
Shéhérazade,4,France
Silverton Siege,1,France
Sky Rojo: Season 2,6,France
Skyscraper,9,France
Slender Man,2,France
Snowpiercer: Season 3,10,France
Sous le même toit,2,France
Spider-Man,405,France
Spider-Man 3,2,France
Spider-Man: Homecoming,2,France
Spider-Man: Into the Spider-Verse,6,France
Spiderhead,2,France
Squid Game: Season 1,397,France
Stay Close: Limited Series,2,France
Stealth,3,France
Stranger Things,364,France
Stranger Things 2,364,France
Stranger Things 3,364,France
Stranger Things 4,364,France
Summer Heat: Season 1,1,France
Surviving Summer: Season 1,1,France
Sweet Girl,1,France
Sweet Tooth: Season 1,6,France
Tall Girl 2,1,France
Texas Chainsaw Massacre,9,France
The Adam Project,2,France
The Amazing Spider-Man,15,France
The Amazing Spider-Man 2,2,France
The Blacklist: Season 7,3,France
The Bubble,1,France
The Dead Don't Die,3,France
The Flash: Season 6,44,France
The Game,4,France
The Good Doctor: Season 1,12,France
The Good Doctor: Season 2,12,France
The Guilty,9,France
The Harder They Fall,10,France
The In Between,1,France
The Kissing Booth 3,10,France
The Last Kingdom: Season 1,13,France
The Last Kingdom: Season 5,13,France
The Lost Daughter,3,France
The Magnificent Seven,1,France
The Mist,4,France
The Nun,3,France
The Patriot,1,France
The Power of the Dog,30,France
The Privilege,1,France
The Punisher,7,France
The Royals: Season 1,3,France
The Seven Deadly Sins: Dragon's Judgement,1,France
The Silent Sea: Season 1,8,France
The Sinner: Season 3: Jamie,4,France
The Tinder Swindler,3,France
The Umbrella Academy: Season 1,12,France
The Umbrella Academy: Season 3,12,France
The Walking Dead: Season 10,95,France
The Wasteland,1,France
The Witcher: Nightmare of the Wolf,4,France
The Witcher: Season 1,119,France
The Witcher: Season 2,119,France
This Is the End,7,France
Titans: Season 1,20,France
Titans: Season 3,20,France
Tomb Raider,20,France
Too Hot to Handle: Season 2,5,France
Too Hot to Handle: Season 3,5,France
