video_title,tweetvol,country_name
365 Days: This Day,3,Japan
All of Us Are Dead: Season 1,6,Japan
Anna,113,Japan
Asakusa Kid,3,Japan
Avalanche: Season 1,33,Japan
Black and Blue,3,Japan
Blood Red Sky,1,Japan
Bloodshot,1,Japan
Bohemian Rhapsody,17,Japan
Bridgerton: Season 2,10,Japan
Bubble,39,Japan
Business Proposal: Season 1,14,Japan
Central Intelligence,1,Japan
Charlie and the Chocolate Factory,2,Japan
Charlie's Angels,2,Japan
Clover,44,Japan
Cowboy Bebop: Season 1,43,Japan
Crash Landing on You: Season 1,2,Japan
D.P.: Season 1,11,Japan
DEATH NOTE: Death Note,12,Japan
Demon Slayer: Kimetsu no Yaiba: Entertainment District Arc,7,Japan
Demon Slayer: Kimetsu no Yaiba: Mugen Train Arc,7,Japan
"Demon Slayer: Kimetsu no Yaiba: Tanjiro Kamado, Unwavering Resolve Arc",7,Japan
Diner,203,Japan
Dolittle,2,Japan
Don't Look Up,34,Japan
Dune,175,Japan
Emily in Paris: Season 2,4,Japan
Encounter,11,Japan
Escape Room,4,Japan
Exit,492,Japan
First Love,14,Japan
Fishbowl Wives: Season 1,1,Japan
Flip a Coin -ONE OK ROCK Documentary-,1,Japan
FullMetal Alchemist,8,Japan
Furious 7,2,Japan
Gantz,31,Japan
Golden Kamuy: Season 3,6,Japan
GOLGO13: Collection 1,3,Japan
Greenland,1,Japan
Guns Akimbo,2,Japan
He's Expecting: Season 1,1,Japan
Heat,44,Japan
Hellbound: Season 1,7,Japan
Hello World,36,Japan
Hero,182,Japan
his,44,Japan
Hometown Cha-Cha-Cha: Season 1,15,Japan
Hope,184,Japan
Hospital Playlist: Season 2,1,Japan
In Time,1,Japan
Interceptor,4,Japan
Inventing Anna: Limited Series,3,Japan
Iron Man,71,Japan
Itaewon Class: Season 1,1,Japan
Jack Reacher,1,Japan
John Wick,7,Japan
JoJo's Bizarre Adventure: STONE OCEAN,89,Japan
Jujutsu Kaisen: Season 1,74,Japan
Just Like Heaven,1,Japan
Kasane,3,Japan
Kate,34,Japan
Knight and Day,2,Japan
Lawless Lawyer,1,Japan
Love Hard,1,Japan
Love is Blind: Japan: Season 1,7,Japan
Love Like the Falling Petals,6,Japan
Ma,17,Japan
Maid: Limited Series,222,Japan
Midsommar,12,Japan
Midway,5,Japan
Mine: Season 1,24,Japan
Mirai,141,Japan
Monster Hunter: Legends of the Guild,1,Japan
Monster: Season 1,148,Japan
Mortal Kombat,5,Japan
Mr. & Mrs. Smith,1,Japan
My Hero Academia: Season 5,39,Japan
My Name: Season 1,5,Japan
"Nevertheless,: Season 1",1,Japan
Night Teeth,1,Japan
Oblivion,3,Japan
One Outs: season 1,1,Japan
ONE PIECE: Wano Country (Ep.892 - Ep.1000),3863,Japan
Our Beloved Summer: Season 1,2,Japan
Overlord,4,Japan
Peninsula,25,Japan
Peppermint,6,Japan
R.I.P.D.,1,Japan
Ready Player One,1,Japan
Record of Ragnarok: Season 1,1,Japan
Red Notice,10,Japan
Reminiscence,7,Japan
RESIDENT EVIL: Infinite Darkness: Season 1,1,Japan
SAS: Rise of the Black Swan,1,Japan
Secret Garden: Season 1,5,Japan
Security,29,Japan
Sekigahara,15,Japan
Senior Year,1,Japan
Sex Education: Season 3,13,Japan
Silent Tokyo,1,Japan
Silver Spoon,3,Japan
Sing,307,Japan
Single’s Inferno: Season 1,1,Japan
Sket Dance: Season 1,2,Japan
Space Jam: A New Legacy,5,Japan
SPRIGGAN: Season 1,4,Japan
SPY x FAMILY: Season 1,264,Japan
Squid Game: Season 1,82,Japan
STAND BY ME Doraemon 2,1,Japan
Stealth,15,Japan
Stranger Things,71,Japan
Stranger Things 2,71,Japan
Stranger Things 4,71,Japan
Suicide Squad,6,Japan
Summer Wars,3,Japan
Switch,631,Japan
Tenet,10,Japan
The Adam Project,4,Japan
The Blacklist: Season 8,2,Japan
The Boy and the Beast,2,Japan
The Cave,1,Japan
The Conjuring: The Devil Made Me Do It,1,Japan
THE FABLE,3,Japan
The Game,5,Japan
The Good Doctor: Season 1,3,Japan
The Guilty,1,Japan
The Harder They Fall,4,Japan
The Journalist: Season 1,1,Japan
The King's Affection: Season 1,1,Japan
The Man from Toronto,2,Japan
The Matrix,16,Japan
The Outsider,5,Japan
The Platform,1,Japan
The Promised Neverland: Season 2,2,Japan
The Punisher,2,Japan
The Sound of Magic: Season 1,1,Japan
The Suicide Squad,34,Japan
The Tinder Swindler,1,Japan
The Unforgivable,2,Japan
The Witcher: Season 2,10,Japan
Thirty-Nine: Season 1,2,Japan
Those Who Wish Me Dead,4,Japan
Tokyo Revengers: Season 1,78,Japan
Tom and Jerry,37,Japan
Tomorrow: Season 1,32,Japan
Touch Your Heart,1,Japan
Twenty Five Twenty One: Season 1,4,Japan
Under the Stars,1,Japan
Us,48,Japan
Vincenzo: Season 1,2,Japan
Windfall,1,Japan
Wolf Children,1,Japan
Wonder Woman 1984,2,Japan
You: Season 3,139,Japan
