video_title,tweetvol,country_name
13 Going on 30,8,Mexico
365 Days: This Day,24,Mexico
A Boy Called Christmas,1,Mexico
Afterlife of the Party,1,Mexico
Aftermath,1,Mexico
Alice in Borderland: Season 1,6,Mexico
All of Us Are Dead: Season 1,13,Mexico
Alpha,22,Mexico
AlRawabi School for Girls: Season 1,2,Mexico
Amores perros,26,Mexico
Anatomy of a Scandal: Limited Series,5,Mexico
Anna,34,Mexico
Arcane: Season 1,129,Mexico
Archive 81: Season 1,17,Mexico
Army of the Dead,69,Mexico
Army of Thieves,5,Mexico
Beauty and the Beast,24,Mexico
Beckett,3,Mexico
Bedazzled,3,Mexico
Belzebuth,6,Mexico
Blood Red Sky,7,Mexico
Bohemian Rhapsody,10,Mexico
Boruto: Naruto Next Generations: Season 1,2,Mexico
Bride Wars,2,Mexico
Bridgerton: Season 1,51,Mexico
Bridgerton: Season 2,51,Mexico
Brightburn,2,Mexico
Bruised,4,Mexico
Business Proposal: Season 1,7,Mexico
Café con aroma de mujer: Season 1,60,Mexico
Choose or Die,1,Mexico
Clickbait: Limited Series,26,Mexico
Cobra Kai: Season 4,176,Mexico
Collision,1,Mexico
Compadres,32,Mexico
Control Z: Season 1,42,Mexico
Control Z: Season 2,42,Mexico
Crawl,1,Mexico
Dangerous,27,Mexico
Daughter From Another Mother: Season 1,1,Mexico
Daughter From Another Mother: Season 2,1,Mexico
Deep Impact,1,Mexico
Don't Kill Me,1,Mexico
Don't Look Up,335,Mexico
Dora and the Lost City of Gold,1,Mexico
Dynasty: Season 4,15,Mexico
El Chema: Season 1,1,Mexico
El infierno,9,Mexico
Elite: Season 4,107,Mexico
Elite: Season 5,107,Mexico
Elves: Season 1,3,Mexico
Emily in Paris: Season 2,52,Mexico
Enough,7,Mexico
Escape Room,1,Mexico
Everything Will Be Fine: Season 1,2,Mexico
Extinct,5,Mexico
Falling Into Your Smile: Season 1,6,Mexico
Falsa identidad: Season 1,2,Mexico
Falsa identidad: Season 2,2,Mexico
Faster,10,Mexico
Fatale,1,Mexico
Fatherhood,11,Mexico
First Kill,3,Mexico
First Kill: Season 1,3,Mexico
Five Feet Apart,2,Mexico
For Life: Season 1,4,Mexico
Forecasting Love and Weather: Season 1,1,Mexico
Fracture,5,Mexico
Friendzone,14,Mexico
Furioza,3,Mexico
Gangubai Kathiawadi,1,Mexico
Gemini Man,1,Mexico
Ghost Ship,1,Mexico
Good Girls: Season 4,9,Mexico
Gran Torino,4,Mexico
Grey's Anatomy: Season 17,185,Mexico
Halftime,35,Mexico
He's All That,4,Mexico
Heartstopper: Season 1,617,Mexico
Heat,35,Mexico
Heavenly Bites: Mexico: Season 1,1,Mexico
Hellbound: Season 1,7,Mexico
Home Team,6,Mexico
Homefront,1,Mexico
Hometown Cha-Cha-Cha: Season 1,9,Mexico
Hustle,28,Mexico
I Am Georgina: Season 1,1,Mexico
In Time,1,Mexico
Interceptor,5,Mexico
Intrusion,73,Mexico
Invasion,34,Mexico
Inventing Anna: Limited Series,17,Mexico
Is It Cake?: Season 1,4,Mexico
Jack Reacher,2,Mexico
Jurassic World Camp Cretaceous: Season 4,1,Mexico
Just Go With It,1,Mexico
Juvenile Justice: Season 1,1,Mexico
Kate,6,Mexico
Kingdom: Ashin of the North,4,Mexico
Knives Out,5,Mexico
La ley de Herodes,5,Mexico
La Reina del Sur: Season 2,4,Mexico
Lost in Space: Season 3,5,Mexico
Love Hard,5,Mexico
Lucifer: Season 6,36,Mexico
Ma,23,Mexico
Maid: Limited Series,37,Mexico
"Malverde, el santo patrón: Season 1",72,Mexico
Man on Fire,3,Mexico
Maya and the Three: Limited Series,14,Mexico
Memoirs of a Geisha,1,Mexico
Metal Lords,23,Mexico
Midnight Mass: Limited Series,54,Mexico
Mine: Season 1,13,Mexico
Money Heist: Part 1,17,Mexico
Money Heist: Part 5,17,Mexico
My Little Pony: A New Generation,6,Mexico
My Name: Season 1,3,Mexico
Narcos: Mexico: Season 1,67,Mexico
Narcos: Mexico: Season 2,67,Mexico
Narcos: Mexico: Season 3,67,Mexico
Never Back Down,50,Mexico
Never Have I Ever: Season 2,5,Mexico
"Nevertheless,: Season 1",8,Mexico
Nightbooks,2,Mexico
No One Gets Out Alive,2,Mexico
No Reservations,1,Mexico
Non-Stop,23,Mexico
On My Block: Season 4,2,Mexico
Once Upon a Time in Hollywood,1,Mexico
One of Us Is Lying: Season 1,4,Mexico
One-Punch Man: Season 2,39,Mexico
Ozark: Season 4,115,Mexico
Pacific Rim,4,Mexico
Parallel Mothers,2,Mexico
PAW Patrol: Season 6,29,Mexico
Peaky Blinders: Season 6,114,Mexico
Penguin Bloom,2,Mexico
Playing with Fire,1,Mexico
Prayers for the Stolen,9,Mexico
Prey,7,Mexico
Rebelde: Season 1,100,Mexico
Red Notice,31,Mexico
Redemption,2,Mexico
Rescued by Ruby,1,Mexico
Restless,3,Mexico
Riverdale: Season 5,101,Mexico
SAS: Rise of the Black Swan,1,Mexico
Seal Team,1,Mexico
Senior Year,13,Mexico
Señora Acero: Season 1,8,Mexico
Señora Acero: Season 2,8,Mexico
Señora Acero: Season 3,8,Mexico
Sex Education: Season 1,119,Mexico
Sex Education: Season 2,119,Mexico
Sex Education: Season 3,119,Mexico
Sex/Life: Season 1,20,Mexico
Shrek,36,Mexico
Sin Nombre,2,Mexico
Single All The Way,17,Mexico
Slender Man,6,Mexico
Somos.: Season 1,104,Mexico
Sonic the Hedgehog,63,Mexico
Spider-Man,1604,Mexico
Spider-Man 3,12,Mexico
Spider-Man: Homecoming,6,Mexico
Spider-Man: Into the Spider-Verse,16,Mexico
Spiderhead,7,Mexico
Squid Game: Season 1,198,Mexico
Stay Close: Limited Series,2,Mexico
Stranger Things,820,Mexico
Stranger Things 2,820,Mexico
Stranger Things 3,820,Mexico
Stranger Things 4,820,Mexico
Sweet Girl,9,Mexico
Sweet Magnolias: Season 2,1,Mexico
Taboo: Season 1,14,Mexico
Tall Girl 2,2,Mexico
Texas Chainsaw Massacre,26,Mexico
The 100: Season 7,6,Mexico
The Adam Project,26,Mexico
The Addams Family,5,Mexico
The Amazing Spider-Man 2,3,Mexico
The Bombardment,1,Mexico
The Chestnut Man: Season 1,1,Mexico
The Conductor,1,Mexico
The Cuphead Show!: Season 1,2,Mexico
The Guilty,9,Mexico
The House,3,Mexico
The Ice Road,3,Mexico
The In Between,4,Mexico
The King's Affection: Season 1,2,Mexico
The Kissing Booth 3,10,Mexico
The Last Kingdom: Season 5,14,Mexico
The Last Letter From Your Lover,4,Mexico
The Last Mercenary,2,Mexico
The Lincoln Lawyer: Season 1,3,Mexico
The Lost Daughter,24,Mexico
The Loud House Movie,3,Mexico
The Marked Heart: Season 1,1,Mexico
The Mask,2,Mexico
The Old Ways,6,Mexico
The Outpost,1,Mexico
The Postcard Killings,1,Mexico
The Power of the Dog,71,Mexico
The Rite,2,Mexico
The Royal Treatment,3,Mexico
The Seven Deadly Sins: Dragon's Judgement,4,Mexico
The Silent Sea: Season 1,3,Mexico
The Sinner: Season 4: Percy,10,Mexico
The Sound of Magic: Season 1,5,Mexico
The Tinder Swindler,17,Mexico
The Trip,1,Mexico
The Umbrella Academy: Season 1,63,Mexico
The Umbrella Academy: Season 3,63,Mexico
The Unforgivable,7,Mexico
The Vault,1,Mexico
The Weekend Away,2,Mexico
The Witcher: Season 1,82,Mexico
The Witcher: Season 2,82,Mexico
Titans: Season 3,287,Mexico
Todos queremos a alguien,4,Mexico
Toscana,9,Mexico
Toy Boy: Season 1,7,Mexico
Trollhunters: Rise of the Titans,3,Mexico
Trolls,10,Mexico
Troy,4,Mexico
Turbo,36,Mexico
Twenty Five Twenty One: Season 1,16,Mexico
Unfaithful,1,Mexico
Venom,301,Mexico
Vikings: Valhalla: Season 1,25,Mexico
Virgin River: Season 3,4,Mexico
Vivo,89,Mexico
Warcraft,4,Mexico
Welcome to Eden: Season 1,1,Mexico
Who Killed Sara?: Season 1,7,Mexico
Who Killed Sara?: Season 3,7,Mexico
Worst Roommate Ever: Season 1,2,Mexico
Worth,2,Mexico
Ya veremos,3,Mexico
Yara,6,Mexico
Yesterday,41,Mexico
"Yo soy Betty, la fea: Season 1",28,Mexico
You: Season 1,136,Mexico
You: Season 3,136,Mexico
