video_title,show_title,season_title,category,Brazil,France,Japan,Mexico,United_Kingdom,United_States
'83,'83,N/A,Films,0,0,0,0,1,0
10 Cloverfield Lane,10 Cloverfield Lane,N/A,Films,0,1,0,0,0,0
"10,000 B.C.","10,000 B.C.",N/A,Films,0,0,0,0,0,1
13 Going on 30,13 Going on 30,N/A,Films,0,0,0,1,0,0
13 Hours: The Secret Soldiers of Benghazi,13 Hours: The Secret Soldiers of Benghazi,N/A,Films,1,0,1,1,0,0
13 Minutes,13 Minutes,N/A,Films,0,0,0,0,1,0
14 Peaks: Nothing Is Impossible,14 Peaks: Nothing Is Impossible,N/A,Films,0,1,0,0,1,1
1408,1408,N/A,Films,0,0,0,0,1,0
17 Again,17 Again,N/A,Films,0,0,0,0,1,0
1917,1917,N/A,Films,0,0,1,0,1,0
21,21,N/A,Films,0,0,0,0,0,1
21 Bridges,21 Bridges,N/A,Films,0,0,1,0,1,1
21 Jump Street,21 Jump Street,N/A,Films,0,0,0,0,0,1
211,211,N/A,Films,1,0,0,1,0,0
3 From Hell,3 From Hell,N/A,Films,0,0,0,0,1,0
3 idiotas,3 idiotas,N/A,Films,0,0,0,1,0,0
300,300,N/A,Films,0,0,0,0,0,1
300: Rise of an Empire,300: Rise of an Empire,N/A,Films,0,0,0,0,1,0
365 Days,365 Days,N/A,Films,1,1,0,0,1,0
365 Days: This Day,365 Days: This Day,N/A,Films,1,1,1,1,1,1
40 Years Young,40 Years Young,N/A,Films,0,0,0,1,0,0
461 Days of Bento,461 Days of Bento,N/A,Films,0,0,1,0,0,0
47 Meters Down: Uncaged,47 Meters Down: Uncaged,N/A,Films,0,0,0,1,0,0
6 Underground,6 Underground,N/A,Films,1,1,0,0,1,0
60 Days In: Season 6,60 Days In,60 Days In: Season 6,TV,0,0,0,0,0,1
7 Prisoners,7 Prisoners,N/A,Films,1,0,0,0,0,0
7 Secretaries: Season 1,7 Secretaries,7 Secretaries: Season 1,TV,0,0,1,0,0,0
90 Minutes in Heaven,90 Minutes in Heaven,N/A,Films,1,0,0,0,0,0
A Boy Called Christmas,A Boy Called Christmas,N/A,Films,1,0,1,1,0,1
A California Christmas: City Lights,A California Christmas: City Lights,N/A,Films,1,1,0,1,1,1
A Castle For Christmas,A Castle For Christmas,N/A,Films,1,1,0,1,1,1
A Classic Horror Story,A Classic Horror Story,N/A,Films,1,0,0,0,0,0
A Dog's Journey,A Dog's Journey,N/A,Films,1,0,0,1,0,0
A Dog's Way Home,A Dog's Way Home,N/A,Films,1,0,0,1,0,0
A Family,A Family,N/A,Films,0,0,1,0,0,0
A Madea Homecoming,A Madea Homecoming,N/A,Films,1,1,0,0,1,1
A Man Apart,A Man Apart,N/A,Films,1,0,0,0,0,0
A Naija Christmas,A Naija Christmas,N/A,Films,1,0,0,0,0,0
A Perfect Enemy,A Perfect Enemy,N/A,Films,1,0,0,1,0,0
A Perfect Fit,A Perfect Fit,N/A,Films,1,0,0,1,0,0
A Perfect Pairing,A Perfect Pairing,N/A,Films,1,1,1,1,1,1
A Quiet Place,A Quiet Place,N/A,Films,1,0,0,0,0,0
A Quiet Place Part II,A Quiet Place Part II,N/A,Films,0,0,1,0,0,0
A Score to Settle,A Score to Settle,N/A,Films,1,0,0,1,0,0
A Star Is Born,A Star Is Born,N/A,Films,0,1,0,0,0,0
A Time to Kill,A Time to Kill,N/A,Films,0,0,0,0,1,0
A Violent Man,A Violent Man,N/A,Films,0,0,0,0,1,0
A Walk Among the Tombstones,A Walk Among the Tombstones,N/A,Films,0,0,0,0,0,1
A Woman With No Filter,A Woman With No Filter,N/A,Films,0,0,0,1,0,0
Abominable,Abominable,N/A,Films,1,0,0,1,0,0
Absolute Power,Absolute Power,N/A,Films,0,1,0,0,0,0
Ackley Bridge: Series 3,Ackley Bridge,Ackley Bridge: Series 3,TV,0,0,0,0,1,0
Addams Family Values,Addams Family Values,N/A,Films,0,0,0,1,0,0
After Life: Season 1,After Life,After Life: Season 1,TV,0,0,0,0,1,0
After Life: Season 2,After Life,After Life: Season 2,TV,0,0,0,0,1,0
After Life: Season 3,After Life,After Life: Season 3,TV,0,0,0,0,1,0
After We Fell,After We Fell,N/A,Films,0,0,0,0,0,1
Afterlife of the Party,Afterlife of the Party,N/A,Films,1,1,0,1,1,1
Aftermath,Aftermath,N/A,Films,1,1,0,1,1,1
Against The Ice,Against The Ice,N/A,Films,1,1,1,1,1,1
AI Amok,AI Amok,N/A,Films,0,0,1,0,0,0
Aileen Wuornos: American Boogeywoman,Aileen Wuornos: American Boogeywoman,N/A,Films,0,0,0,0,1,1
Alchemy of Souls: Part 1,Alchemy of Souls,Alchemy of Souls: Part 1,TV,0,0,1,0,0,0
